filename,subject_id,video_id,duration,num_lang,cohort,video_name,age_in_months,date_tested
00220001_GX020001_02.05.2024-02.11.2024_02.05.2024-5:19pm,00220001,GX020001,704.73,1,release_1,00220001_GX020001_02.05.2024-02.11.2024_02.05.2024-5:19pm,5.21594684385382,2024-02-05
00220001_GX020003_02.05.2024-02.11.2024_02.05.2024-1:47pm,00220001,GX020003,704.73,1,release_1,00220001_GX020003_02.05.2024-02.11.2024_02.05.2024-1:47pm,5.21594684385382,2024-02-05
00220001_GX020004_02.05.2024-02.11.2024_02.06.2024-2:41,00220001,GX020004,704.73,1,release_1,00220001_GX020004_02.05.2024-02.11.2024_02.06.2024-2:41,5.249169435215947,2024-02-06
00220001_GX020006_02.19.2024-02.25.2024_02.24.2024-NA,00220001,GX020006,704.73,1,release_1,00220001_GX020006_02.19.2024-02.25.2024_02.24.2024-NA,5.847176079734219,2024-02-24
00220001_GX020007_02.19.2024-02.25.2024_02.24.2024-2:29pm,00220001,GX020007,606.96,1,release_1,00220001_GX020007_02.19.2024-02.25.2024_02.24.2024-2:29pm,5.847176079734219,2024-02-24
00220001_GX020008_02.26.2024-03.03.2024_02.28.2024-11:30am,00220001,GX020008,218.2,1,release_1,00220001_GX020008_02.26.2024-03.03.2024_02.28.2024-11:30am,5.980066445182724,2024-02-28
00220001_GX020011_03.04.2024-03.10.2024_03.06.2024-1:59pm,00220001,GX020011,704.73,1,release_1,00220001_GX020011_03.04.2024-03.10.2024_03.06.2024-1:59pm,6.212624584717608,2024-03-06
00220001_GX020013_03.18.2024-03.24.2024_03.19.2024-2:50pm,00220001,GX020013,704.73,1,release_1,00220001_GX020013_03.18.2024-03.24.2024_03.19.2024-2:50pm,6.644518272425249,2024-03-19
00220001_GX020015_03.25.2024-03.31.2024_03.30.2024-12:51pm,00220001,GX020015,704.73,1,release_1,00220001_GX020015_03.25.2024-03.31.2024_03.30.2024-12:51pm,7.009966777408637,2024-03-30
00220001_GX020016_04.01.2024-04.07.2024_04.06.2024-12:07pm,00220001,GX020016,704.73,1,release_1,00220001_GX020016_04.01.2024-04.07.2024_04.06.2024-12:07pm,7.2425249169435215,2024-04-06
00220001_GX020017_04.01.2024-04.07.2024_04.06.2024-12:07pm,00220001,GX020017,535.15,1,release_1,00220001_GX020017_04.01.2024-04.07.2024_04.06.2024-12:07pm,7.2425249169435215,2024-04-06
00220001_GX020023_04.15.2024-04.21.2024_04.16.2024-4:29pm,00220001,GX020023,704.73,1,release_1,00220001_GX020023_04.15.2024-04.21.2024_04.16.2024-4:29pm,7.574750830564784,2024-04-16
00220001_GX020026_04.29.2024-05.05.2024_04.29.2024-6:24pm,00220001,GX020026,704.73,1,release_1,00220001_GX020026_04.29.2024-05.05.2024_04.29.2024-6:24pm,8.006644518272426,2024-04-29
00220001_GX020027_05.06.2024-05.12.2024_05.08.2024-5:51pm,00220001,GX020027,451.14,1,ongoing,00220001_GX020027_05.06.2024-05.12.2024_05.08.2024-5:51pm,8.305647840531561,2024-05-08
00220001_GX020028_05.13.2024-05.19.2024_05.17.2024-5:29pm,00220001,GX020028,556.4,1,ongoing,00220001_GX020028_05.13.2024-05.19.2024_05.17.2024-5:29pm,NA,NA
00220001_GX020031_05.20.2024-05.26.2024_05.26.2024-12:38pm,00220001,GX020031,704.73,1,ongoing,00220001_GX020031_05.20.2024-05.26.2024_05.26.2024-12:38pm,8.903654485049833,2024-05-26
00220001_GX020032_05.27.2024-06.02.2024_05.31.2024-12:46pm,00220001,GX020032,431.02,1,ongoing,00220001_GX020032_05.27.2024-06.02.2024_05.31.2024-12:46pm,9.069767441860465,2024-05-31
00220001_GX020033_06.03.2024-06.09.2024_06.04.2024-5:03pm,00220001,GX020033,704.73,1,ongoing,00220001_GX020033_06.03.2024-06.09.2024_06.04.2024-5:03pm,9.20265780730897,2024-06-04
00220001_GX020034_06.10.2024-06.16.2024_06.14.2024-7:11am,00220001,GX020034,704.73,1,ongoing,00220001_GX020034_06.10.2024-06.16.2024_06.14.2024-7:11am,9.534883720930232,2024-06-14
00220001_GX020035_06.17.2024-06.23.2024_06.17.2024-5:38pm,00220001,GX020035,536.34,1,ongoing,00220001_GX020035_06.17.2024-06.23.2024_06.17.2024-5:38pm,9.634551495016611,2024-06-17
00220001_GX020036_06.24.2024-06.30.2024_06.26.2024-5:52pm,00220001,GX020036,704.73,1,ongoing,00220001_GX020036_06.24.2024-06.30.2024_06.26.2024-5:52pm,9.933554817275747,2024-06-26
00220001_GX020036_07.01.2024-07.07.2024_07.05.2024-7:30am,00220001,GX020036,704.73,1,ongoing,00220001_GX020036_07.01.2024-07.07.2024_07.05.2024-7:30am,10.232558139534882,2024-07-05
00220001_GX020037_07.08.2024-07.14.2024_07.09.2024-12:40pm,00220001,GX020037,704.73,1,ongoing,00220001_GX020037_07.08.2024-07.14.2024_07.09.2024-12:40pm,10.365448504983389,2024-07-09
00220001_GX020038_07.15.2024-07.21.2024_07.15.2024-4:26pm,00220001,GX020038,414.96,1,ongoing,00220001_GX020038_07.15.2024-07.21.2024_07.15.2024-4:26pm,10.564784053156146,2024-07-15
00220001_GX020039_07.22.2024-07.28.2024_07.22.2024-5:21pm,00220001,GX020039,704.73,1,ongoing,00220001_GX020039_07.22.2024-07.28.2024_07.22.2024-5:21pm,10.79734219269103,2024-07-22
00220001_GX020040_07.29.2024-08.04.2024_07.30.2024-5:53pm,00220001,GX020040,704.73,1,ongoing,00220001_GX020040_07.29.2024-08.04.2024_07.30.2024-5:53pm,11.06312292358804,2024-07-30
00220001_GX020042_08.05.2024-08.11.2024_08.05.2024-5:55pm,00220001,GX020042,1281.32,1,ongoing,00220001_GX020042_08.05.2024-08.11.2024_08.05.2024-5:55pm,11.262458471760796,2024-08-05
00220001_GX020042_08.12.2024-08.18.2024_08.18.2024-7:06am,00220001,GX020042,704.73,1,ongoing,00220001_GX020042_08.12.2024-08.18.2024_08.18.2024-7:06am,11.694352159468439,2024-08-18
00220001_GX020043_08.19.2024-08.25.2024_08.21.2024-5:03pm,00220001,GX020043,671.51,1,ongoing,00220001_GX020043_08.19.2024-08.25.2024_08.21.2024-5:03pm,11.794019933554816,2024-08-21
00220001_GX020044_08.26.2024-09.01.2024_08.28.2024-5:40pm,00220001,GX020044,191.45,1,ongoing,00220001_GX020044_08.26.2024-09.01.2024_08.28.2024-5:40pm,12.0265780730897,2024-08-28
00220001_GX020045_08.26.2024-09.01.2024_08.28.2024-6:00pm,00220001,GX020045,295.98,1,ongoing,00220001_GX020045_08.26.2024-09.01.2024_08.28.2024-6:00pm,12.0265780730897,2024-08-28
00220001_GX020046_09.02.2024-09.08.2024_09.02.2024-11:45am,00220001,GX020046,128.85,1,ongoing,00220001_GX020046_09.02.2024-09.08.2024_09.02.2024-11:45am,12.192691029900331,2024-09-02
00220001_GX020047_09.02.2024-09.08.2024_09.02.2024-NA,00220001,GX020047,704.73,1,ongoing,00220001_GX020047_09.02.2024-09.08.2024_09.02.2024-NA,12.192691029900331,2024-09-02
00220001_GX020049_09.09.2024-09.15.2024_09.13.2024-NA,00220001,GX020049,418.18,1,ongoing,00220001_GX020049_09.09.2024-09.15.2024_09.13.2024-NA,12.55813953488372,2024-09-13
00220001_GX020050_09.16.2024-09.22.2024_09.18.2024-5:40pm,00220001,GX020050,514.07,1,ongoing,00220001_GX020050_09.16.2024-09.22.2024_09.18.2024-5:40pm,12.724252491694351,2024-09-18
00220001_GX020051_09.16.2024-09.22.2024_09.18.2024-NA,00220001,GX020051,516.65,1,ongoing,00220001_GX020051_09.16.2024-09.22.2024_09.18.2024-NA,12.724252491694351,2024-09-18
00220001_GX020052_09.23.2024-09.29.2024_09.26.2024-5:40pm,00220001,GX020052,690.45,1,ongoing,00220001_GX020052_09.23.2024-09.29.2024_09.26.2024-5:40pm,12.99003322259136,2024-09-26
00220001_GX020053_09.23.2024-09.29.2024_09.26.2024-NA,00220001,GX020053,145.92000000000002,1,ongoing,00220001_GX020053_09.23.2024-09.29.2024_09.26.2024-NA,12.99003322259136,2024-09-26
00220001_GX020055_09.30.2024-10.06.2024_10.05.2024-4:55pm,00220001,GX020055,704.73,1,ongoing,00220001_GX020055_09.30.2024-10.06.2024_10.05.2024-4:55pm,13.289036544850498,2024-10-05
00220001_GX020057_10.07.2024-10.13.2024_10.09.2024-5:56pm,00220001,GX020057,704.73,1,ongoing,00220001_GX020057_10.07.2024-10.13.2024_10.09.2024-5:56pm,13.421926910299003,2024-10-09
00220001_GX020058_10.14.2024-10.20.2024_10.17.2024-5:12pm,00220001,GX020058,704.73,1,ongoing,00220001_GX020058_10.14.2024-10.20.2024_10.17.2024-5:12pm,13.687707641196013,2024-10-17
00220001_GX030001_02.05.2024-02.11.2024_02.05.2024-5:19pm,00220001,GX030001,704.73,1,release_1,00220001_GX030001_02.05.2024-02.11.2024_02.05.2024-5:19pm,5.21594684385382,2024-02-05
00220001_GX030003_02.05.2024-02.11.2024_02.05.2024-1:47pm,00220001,GX030003,704.73,1,release_1,00220001_GX030003_02.05.2024-02.11.2024_02.05.2024-1:47pm,5.21594684385382,2024-02-05
00220001_GX030004_02.05.2024-02.11.2024_02.06.2024-2:41,00220001,GX030004,48,1,release_1,00220001_GX030004_02.05.2024-02.11.2024_02.06.2024-2:41,5.249169435215947,2024-02-06
00220001_GX030006_02.19.2024-02.25.2024_02.24.2024-NA,00220001,GX030006,192.43,1,release_1,00220001_GX030006_02.19.2024-02.25.2024_02.24.2024-NA,5.847176079734219,2024-02-24
00220001_GX030011_03.04.2024-03.10.2024_03.06.2024-1:59pm,00220001,GX030011,704.73,1,release_1,00220001_GX030011_03.04.2024-03.10.2024_03.06.2024-1:59pm,6.212624584717608,2024-03-06
00220001_GX030015_03.25.2024-03.31.2024_03.30.2024-12:51pm,00220001,GX030015,528.34,1,release_1,00220001_GX030015_03.25.2024-03.31.2024_03.30.2024-12:51pm,7.009966777408637,2024-03-30
00220001_GX030016_04.01.2024-04.07.2024_04.06.2024-12:07pm,00220001,GX030016,704.73,1,release_1,00220001_GX030016_04.01.2024-04.07.2024_04.06.2024-12:07pm,7.2425249169435215,2024-04-06
00220001_GX030023_04.15.2024-04.21.2024_04.16.2024-4:29pm,00220001,GX030023,618.56,1,release_1,00220001_GX030023_04.15.2024-04.21.2024_04.16.2024-4:29pm,7.574750830564784,2024-04-16
00220001_GX030026_04.29.2024-05.05.2024_04.29.2024-6:24pm,00220001,GX030026,409.94,1,release_1,00220001_GX030026_04.29.2024-05.05.2024_04.29.2024-6:24pm,8.006644518272426,2024-04-29
00220001_GX030030_05.13.2024-05.19.2024_05.18.2024-1:49pm,00220001,GX030030,172.48,1,ongoing,00220001_GX030030_05.13.2024-05.19.2024_05.18.2024-1:49pm,8.637873754152823,2024-05-18
00220001_GX030031_05.20.2024-05.26.2024_05.26.2024-12:38pm,00220001,GX030031,704.73,1,ongoing,00220001_GX030031_05.20.2024-05.26.2024_05.26.2024-12:38pm,8.903654485049833,2024-05-26
00220001_GX030033_06.03.2024-06.09.2024_06.04.2024-5:03pm,00220001,GX030033,97.15,1,ongoing,00220001_GX030033_06.03.2024-06.09.2024_06.04.2024-5:03pm,9.20265780730897,2024-06-04
00220001_GX030034_06.10.2024-06.16.2024_06.14.2024-7:11am,00220001,GX030034,704.73,1,ongoing,00220001_GX030034_06.10.2024-06.16.2024_06.14.2024-7:11am,9.534883720930232,2024-06-14
00220001_GX030036_06.24.2024-06.30.2024_06.26.2024-5:52pm,00220001,GX030036,704.73,1,ongoing,00220001_GX030036_06.24.2024-06.30.2024_06.26.2024-5:52pm,9.933554817275747,2024-06-26
00220001_GX030036_07.01.2024-07.07.2024_07.05.2024-7:30am,00220001,GX030036,97.11,1,ongoing,00220001_GX030036_07.01.2024-07.07.2024_07.05.2024-7:30am,10.232558139534882,2024-07-05
